miRNA,Gene
hsa-miR-125b-5p,CGN
hsa-miR-186-5p,CGN
hsa-miR-19b-3p,CGN
hsa-miR-186-5p,CLDN23
hsa-miR-222-3p,CLDN23
hsa-let-7e-5p,CLDN4
hsa-miR-335-5p,CLDN4
hsa-miR-335-5p,CLDN7
hsa-miR-484,CLDN7
hsa-miR-335-5p,CRB3
hsa-let-7e-5p,CREBBP
hsa-miR-100-5p,CREBBP
hsa-miR-1245a,CREBBP
hsa-miR-125b-5p,CREBBP
hsa-miR-1264,CREBBP
hsa-miR-1301-3p,CREBBP
hsa-miR-218-5p,CREBBP
hsa-miR-219a-1-3p,CREBBP
hsa-miR-324-3p,CREBBP
hsa-miR-325,CREBBP
hsa-miR-338-5p,CREBBP
hsa-miR-543,CREBBP
hsa-miR-571,CREBBP
hsa-miR-601,CREBBP
hsa-miR-628-3p,CREBBP
hsa-miR-660-3p,CREBBP
hsa-miR-769-5p,CREBBP
hsa-miR-802,CREBBP
hsa-miR-935,CREBBP
hsa-miR-942-5p,CREBBP
hsa-let-7c-5p,CRK
hsa-let-7e-5p,CRK
hsa-miR-106a-5p,CRK
hsa-miR-106b-5p,CRK
hsa-miR-10a-5p,CRK
hsa-miR-10b-5p,CRK
hsa-miR-1257,CRK
hsa-miR-125a-5p,CRK
hsa-miR-1260b,CRK
hsa-miR-126-3p,CRK
hsa-miR-127-5p,CRK
hsa-miR-1304-3p,CRK
hsa-miR-1306-5p,CRK
hsa-miR-132-3p,CRK
hsa-miR-135b-3p,CRK
hsa-miR-142-5p,CRK
hsa-miR-15a-5p,CRK
hsa-miR-15b-5p,CRK
hsa-miR-16-5p,CRK
hsa-miR-17-5p,CRK
hsa-miR-186-5p,CRK
hsa-miR-190a-3p,CRK
hsa-miR-1915-3p,CRK
hsa-miR-192-5p,CRK
hsa-miR-195-5p,CRK
hsa-miR-206,CRK
hsa-miR-20a-5p,CRK
hsa-miR-20b-5p,CRK
hsa-miR-215-5p,CRK
hsa-miR-216b-3p,CRK
hsa-miR-298,CRK
hsa-miR-302a-3p,CRK
hsa-miR-302b-3p,CRK
hsa-miR-302c-3p,CRK
hsa-miR-302d-3p,CRK
hsa-miR-302e,CRK
hsa-miR-30a-3p,CRK
hsa-miR-30e-3p,CRK
hsa-miR-3140-3p,CRK
hsa-miR-320a,CRK
hsa-miR-320b,CRK
hsa-miR-320c,CRK
hsa-miR-320d,CRK
hsa-miR-329-3p,CRK
hsa-miR-362-3p,CRK
hsa-miR-370-3p,CRK
hsa-miR-372-3p,CRK
hsa-miR-373-3p,CRK
hsa-miR-410-3p,CRK
hsa-miR-423-3p,CRK
hsa-miR-424-5p,CRK
hsa-miR-4284,CRK
hsa-miR-4524a-5p,CRK
hsa-miR-497-5p,CRK
hsa-miR-501-3p,CRK
hsa-miR-502-3p,CRK
hsa-miR-503-5p,CRK
hsa-miR-509-3-5p,CRK
hsa-miR-510-5p,CRK
hsa-miR-512-5p,CRK
hsa-miR-5196-5p,CRK
hsa-miR-519d-3p,CRK
hsa-miR-520a-3p,CRK
hsa-miR-520b,CRK
hsa-miR-520c-3p,CRK
hsa-miR-520d-3p,CRK
hsa-miR-520e,CRK
hsa-miR-548ah-5p,CRK
hsa-miR-548l,CRK
hsa-miR-548n,CRK
hsa-miR-603,CRK
hsa-miR-613,CRK
hsa-miR-619-3p,CRK
hsa-miR-640,CRK
hsa-miR-664b-5p,CRK
hsa-miR-93-5p,CRK
hsa-let-7b-5p,CRKL
hsa-miR-103a-3p,CRKL
hsa-miR-107,CRKL
hsa-miR-1205,CRKL
hsa-miR-1245b-3p,CRKL
hsa-miR-1252-5p,CRKL
hsa-miR-1253,CRKL
hsa-miR-1255a,CRKL
hsa-miR-1255b-5p,CRKL
hsa-miR-1262,CRKL
hsa-miR-126-3p,CRKL
hsa-miR-15a-5p,CRKL
hsa-miR-15b-5p,CRKL
hsa-miR-16-5p,CRKL
hsa-miR-1827,CRKL
hsa-miR-193b-5p,CRKL
hsa-miR-195-5p,CRKL
hsa-miR-214-3p,CRKL
hsa-miR-23b-3p,CRKL
hsa-miR-29a-3p,CRKL
hsa-miR-3065-5p,CRKL
